sep=;
#;Listings;Marka (obecna);Marka EU;Model (obecny);Model EU — do `serie` (filtr/URL);Model EU — pełna nazwa (do title/SEO);Slug URL huba;Tytuł preview;EU market?;Typ;Uwagi;STATUS
28;14;NIO;NIO;NIO ES8;NIO ES8;NIO ES8;/samochody/nio/nio-es8/;NIO ES8 2025;Y;SUV 7-os;MARKA: obecny w EU od 2021;
29;13;BYD;BYD;Song Pro DM;Song Pro DM-i;BYD Song Pro DM-i;/samochody/byd/song-pro-dm-i/;BYD Song Pro DM-i 2025;N;SUV;CN-focus;
30;13;Galaxy;Geely Galaxy;Galaxy Xingyao 8 PHEV;Galaxy Starship 8 PHEV;Geely Galaxy Starship 8 PHEV;/samochody/geely-galaxy/galaxy-starship-8-phev/;Geely Galaxy Starship 8 PHEV 2025;?;sedan PHEV;"Xingyao 8 = Starship 8 | MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
31;13;Li Auto;Li Auto;Li Auto L6;Li Auto L6;Li Auto L6;/samochody/li-auto/li-auto-l6/;Li Auto L6 2025;Y;SUV EREV;;
32;12;Avatr;Avatr;Avatr 07;Avatr 07;Avatr 07;/samochody/avatr/avatr-07/;Avatr 07 2025;Y;SUV;MARKA: Changan-Huawei-CATL JV, debiut EU 2024+;
33;12;Changan;Changan;Changan CS75 PLUS;Changan CS75 Plus;Changan CS75 Plus;/samochody/changan/changan-cs75-plus/;Changan CS75 Plus 2025;Y;SUV;MARKA: debiut EU 2024+;
34;12;Denza;Denza;Denza Z9 DM;Denza Z9 DM-i;Denza Z9 DM-i;/samochody/denza/denza-z9-dm-i/;Denza Z9 DM-i 2025;?;shooting brake;MARKA: BYD-Mercedes JV;
35;12;Fangchengbao;BYD Leopard;Tai 3;Tai 3;BYD Leopard Tai 3;/samochody/byd-leopard/tai-3/;BYD Leopard Tai 3 2025;?;SUV mini EV;MARKA: 'Formula Leopard' sub-brand BYD;
36;12;Maextro;Luxeed;Luxeed R7;Luxeed R7;Luxeed R7;/samochody/luxeed/luxeed-r7/;Luxeed R7 2025;?;SUV coupe EV;"MARKA: Maextro JV Huawei-Chery; dla EU: Luxeed";
37;11;BYD;BYD;Haishi 07 EV;Sealion 7;BYD Sealion 7;/samochody/byd/sealion-7/;BYD Sealion 7 2025;Y;SUV;Haishi 07 = Sealion 7 w EU;
38;11;BYD;BYD;Yuan UP;Atto 2;BYD Atto 2;/samochody/byd/atto-2/;BYD Atto 2 2025;Y;SUV mini;Yuan UP = Atto 2 w EU;
39;11;Li Auto;Li Auto;Li Auto L7;Li Auto L7;Li Auto L7;/samochody/li-auto/li-auto-l7/;Li Auto L7 2025;Y;SUV EREV;;
40;11;NIO;NIO;NIO ET5T;NIO ET5 Touring;NIO ET5 Touring;/samochody/nio/nio-et5-touring/;NIO ET5 Touring 2025;Y;kombi;MARKA: obecny w EU od 2021;
41;11;Volkswagen;Volkswagen;Lavida;Volkswagen Lavida;Volkswagen Lavida;/samochody/volkswagen/volkswagen-lavida/;Volkswagen Lavida 2025;N;sedan;CN-only | MARKA: europejska, modele SAIC-VW CN-exclusive;
42;11;XPeng;XPENG;XPeng G6;XPENG G6;XPENG G6;/samochody/xpeng/xpeng-g6/;XPENG G6 2025;Y;SUV coupe;MARKA: oficjalnie all-caps;
43;11;Zeekr;Zeekr;ZEEKR 009;Zeekr 009;Zeekr 009;/samochody/zeekr/zeekr-009/;Zeekr 009 2025;Y;MPV;MARKA: Geely premium EV;
44;10;BYD;BYD;Qin L DM;Qin L DM-i;BYD Qin L DM-i;/samochody/byd/qin-l-dm-i/;BYD Qin L DM-i 2025;N;sedan;CN-only;
45;10;Galaxy;Geely Galaxy;Galaxy L7;Galaxy L7;Geely Galaxy L7;/samochody/geely-galaxy/galaxy-l7/;Geely Galaxy L7 2025;?;SUV PHEV;"MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
46;10;Volkswagen;Volkswagen;Passat;Volkswagen Passat CN;Volkswagen Passat CN;/samochody/volkswagen/volkswagen-passat-cn/;Volkswagen Passat CN 2025;N;sedan;CN Passat ≠ EU | MARKA: europejska, modele SAIC-VW CN-exclusive;
47;10;Volkswagen;Volkswagen;Tiguan L;Volkswagen Tiguan L LWB;Volkswagen Tiguan L LWB;/samochody/volkswagen/volkswagen-tiguan-l-lwb/;Volkswagen Tiguan L LWB 2025;N;SUV;CN LWB | MARKA: europejska, modele SAIC-VW CN-exclusive;
48;10;Volvo;Volvo;Volvo S90;Volvo S90;Volvo S90;/samochody/volvo/volvo-s90/;Volvo S90 2025;Y;sedan;MARKA: europejska (Geely owned);
49;10;Zeekr;Zeekr;ZEEKR 001;Zeekr 001;Zeekr 001;/samochody/zeekr/zeekr-001/;Zeekr 001 2025;Y;shooting brake;MARKA: Geely premium EV;
50;9;BYD;BYD;Han EV;Han EV;BYD Han EV;/samochody/byd/han-ev/;BYD Han EV 2025;Y;sedan;;
51;9;BYD;BYD;Song PLUS DM;Seal U DM-i;BYD Seal U DM-i;/samochody/byd/seal-u-dm-i/;BYD Seal U DM-i 2025;Y;SUV;Song Plus = Seal U w EU;
52;9;BYD;BYD;Tang L DM;Tang L DM-i;BYD Tang L DM-i;/samochody/byd/tang-l-dm-i/;BYD Tang L DM-i 2025;?;SUV 7-os;;
53;9;Fangchengbao;BYD Leopard;Tai 7 PHEV;Tai 7 PHEV;BYD Leopard Tai 7 PHEV;/samochody/byd-leopard/tai-7-phev/;BYD Leopard Tai 7 PHEV 2025;?;SUV PHEV;MARKA: 'Formula Leopard' sub-brand BYD;
54;9;GAC Trumpchi;GAC;Empow;GAC Empow;GAC Empow;/samochody/gac/gac-empow/;GAC Empow 2025;?;sedan;"MARKA: Trumpchi = CN name; w EU GAC";
55;9;Leapmotor;Leapmotor;Leapmotor C11;Leapmotor C11;Leapmotor C11;/samochody/leapmotor/leapmotor-c11/;Leapmotor C11 2025;Y;SUV;MARKA: partnerstwo Stellantis dla EU;
56;9;Leapmotor;Leapmotor;Leapmotor C16;Leapmotor C16;Leapmotor C16;/samochody/leapmotor/leapmotor-c16/;Leapmotor C16 2025;Y;SUV 7-os;MARKA: partnerstwo Stellantis dla EU;
57;9;Li Auto;Li Auto;i6;Li Auto i6;Li Auto i6;/samochody/li-auto/li-auto-i6/;Li Auto i6 2025;Y;SUV EV;;
58;9;Mazda;Mazda;Mazda CX-5;Mazda CX-5;Mazda CX-5;/samochody/mazda/mazda-cx-5/;Mazda CX-5 2025;Y;SUV;MARKA: japońska;
59;8;Avatr;Avatr;Avatr 11;Avatr 11;Avatr 11;/samochody/avatr/avatr-11/;Avatr 11 2025;Y;SUV;MARKA: Changan-Huawei-CATL JV, debiut EU 2024+;
60;8;Chery;Chery;Tiggo 8 PRO;Tiggo 8 Pro;Chery Tiggo 8 Pro;/samochody/chery/tiggo-8-pro/;Chery Tiggo 8 Pro 2025;Y;SUV 7-os;MARKA: w EU także sub-brandy Omoda/Jaecoo;
61;8;Chery Fengyun;Chery Fengyun;Fengyun A9L;Fengyun A9L;Chery Fengyun A9L;/samochody/chery-fengyun/fengyun-a9l/;Chery Fengyun A9L 2025;N;sedan PHEV;CN-only | MARKA: PHEV sub-brand Chery;
62;8;Denza;Denza;Denza N9 DM;Denza N9 DM-i;Denza N9 DM-i;/samochody/denza/denza-n9-dm-i/;Denza N9 DM-i 2025;?;SUV;MARKA: BYD-Mercedes JV;
63;8;Denza;Denza;Denza Z9 GT DM;Denza Z9 GT DM-i;Denza Z9 GT DM-i;/samochody/denza/denza-z9-gt-dm-i/;Denza Z9 GT DM-i 2025;?;shooting brake;MARKA: BYD-Mercedes JV;
64;8;Galaxy;Geely Galaxy;Galaxy Starship 7 EM-i;Galaxy Starship 7 EM-i;Geely Galaxy Starship 7 EM-i;/samochody/geely-galaxy/galaxy-starship-7-em-i/;Geely Galaxy Starship 7 EM-i 2025;?;SUV PHEV;"MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
65;8;Leapmotor;Leapmotor;Leapmotor C10;Leapmotor C10;Leapmotor C10;/samochody/leapmotor/leapmotor-c10/;Leapmotor C10 2025;Y;SUV;MARKA: partnerstwo Stellantis dla EU;
66;8;NIO;NIO;NIO ET5;NIO ET5;NIO ET5;/samochody/nio/nio-et5/;NIO ET5 2025;Y;sedan;MARKA: obecny w EU od 2021;
67;8;Tank;Tank;Tank 300;Tank 300;Tank 300;/samochody/tank/tank-300/;Tank 300 2025;Y;off-road SUV;MARKA: GWM off-road;
68;8;Volvo;Volvo;Volvo XC60;Volvo XC60;Volvo XC60;/samochody/volvo/volvo-xc60/;Volvo XC60 2025;Y;SUV;MARKA: europejska (Geely owned);
69;8;Zeekr;Zeekr;ZEEKR 007;Zeekr 007;Zeekr 007;/samochody/zeekr/zeekr-007/;Zeekr 007 2025;Y;sedan;MARKA: Geely premium EV;
70;7;Exeed;Omoda;Exlantix ET;Omoda ET;Omoda ET;/samochody/omoda/omoda-et/;Omoda ET 2025;?;sedan EV;Exlantix = Omoda | MARKA: user: Exeed w EU występuje jako Omoda;
71;7;Li Auto;Li Auto;Li Auto L9;Li Auto L9;Li Auto L9;/samochody/li-auto/li-auto-l9/;Li Auto L9 2025;Y;SUV EREV;;
72;7;Volkswagen;Volkswagen;Sagitar;Volkswagen Sagitar;Volkswagen Sagitar;/samochody/volkswagen/volkswagen-sagitar/;Volkswagen Sagitar 2025;N;sedan;"CN; EU: Jetta | MARKA: europejska, modele SAIC-VW CN-exclusive";
73;7;XPeng;XPENG;XPeng G7;XPENG G7;XPENG G7;/samochody/xpeng/xpeng-g7/;XPENG G7 2025;?;SUV;MARKA: oficjalnie all-caps;
74;6;BYD;BYD;Han L EV;Han L EV;BYD Han L EV;/samochody/byd/han-l-ev/;BYD Han L EV 2025;N;sedan flagship;CN-only LWB;
75;6;BYD;BYD;Sea Lion 07DM;Sea Lion 07DM;BYD Sea Lion 07DM;/samochody/byd/sea-lion-07dm/;BYD Sea Lion 07DM 2025;?;;do potwierdzenia (fallback);
76;6;Chery;Chery;Arrizo 8 PRO;Arrizo 8 Pro;Chery Arrizo 8 Pro;/samochody/chery/arrizo-8-pro/;Chery Arrizo 8 Pro 2025;?;sedan;MARKA: w EU także sub-brandy Omoda/Jaecoo;
77;6;Galaxy;Geely Galaxy;银河A7 PHEV;Galaxy A7 PHEV;Geely Galaxy A7 PHEV;/samochody/geely-galaxy/galaxy-a7-phev/;Geely Galaxy A7 PHEV 2025;?;sedan PHEV;"translit z CN | MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
78;6;Geely;Geely;Boyue L;Atlas Pro;Geely Atlas Pro;/samochody/geely/atlas-pro/;Geely Atlas Pro 2025;?;SUV;do potwierdzenia: Boyue L → Atlas Pro? | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
79;6;Haval;Haval;Haval Big Dog;Haval Big Dog;Haval Big Dog;/samochody/haval/haval-big-dog/;Haval Big Dog 2025;?;;do potwierdzenia (fallback) | MARKA: GWM;
80;6;IM Motors;IM Motors;IM L6;IM L6;IM Motors IM L6;/samochody/im-motors/im-l6/;IM Motors IM L6 2025;Y;sedan EV;MARKA: SAIC premium EV;
81;6;Jetour;Jetour;Jetour X70 PLUS;Jetour X70 PLUS;Jetour X70 PLUS;/samochody/jetour/jetour-x70-plus/;Jetour X70 PLUS 2025;?;;do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU;
82;6;Nissan;Nissan;Nissan N7;Nissan N7;Nissan N7;/samochody/nissan/nissan-n7/;Nissan N7 2025;N;sedan EV;Dongfeng-Nissan CN | MARKA: japońska, JV Dongfeng-Nissan dla CN;
83;6;Nissan;Nissan;日产N6;Nissan N6;Nissan N6;/samochody/nissan/nissan-n6/;Nissan N6 2025;N;sedan;translit z CN | MARKA: japońska, JV Dongfeng-Nissan dla CN;
84;6;Volkswagen;Volkswagen;Lamando;Volkswagen Lamando;Volkswagen Lamando;/samochody/volkswagen/volkswagen-lamando/;Volkswagen Lamando 2025;N;sedan coupe;CN-only | MARKA: europejska, modele SAIC-VW CN-exclusive;
85;6;Volkswagen;Volkswagen;Teramont;Teramont;Volkswagen Teramont;/samochody/volkswagen/teramont/;Volkswagen Teramont 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
86;6;XPeng;XPENG;XPeng P7;XPENG P7;XPENG P7;/samochody/xpeng/xpeng-p7/;XPENG P7 2025;Y;sedan;MARKA: oficjalnie all-caps;
87;5;BYD;BYD;Sea Lion 06EV;Sea Lion 06EV;BYD Sea Lion 06EV;/samochody/byd/sea-lion-06ev/;BYD Sea Lion 06EV 2025;?;;do potwierdzenia (fallback);
88;5;BYD;BYD;Song PLUS EV;Song PLUS EV;BYD Song PLUS EV;/samochody/byd/song-plus-ev/;BYD Song PLUS EV 2025;?;;do potwierdzenia (fallback);
89;5;BYD;BYD;Xia;Xia;BYD Xia;/samochody/byd/xia/;BYD Xia 2025;?;;do potwierdzenia (fallback);
90;5;Chery;Chery;Tiggo 9;Tiggo 9;Chery Tiggo 9;/samochody/chery/tiggo-9/;Chery Tiggo 9 2025;Y;SUV 7-os;MARKA: w EU także sub-brandy Omoda/Jaecoo;
91;5;Deepal;Deepal;Deepal L07;Deepal L07;Deepal L07;/samochody/deepal/deepal-l07/;Deepal L07 2025;Y;sedan;MARKA: Changan EV sub-brand, EU 2024+;
92;5;Deepal;Deepal;Deepal S07;Deepal S07;Deepal S07;/samochody/deepal/deepal-s07/;Deepal S07 2025;Y;SUV;MARKA: Changan EV sub-brand, EU 2024+;
93;5;GAC Trumpchi;GAC;Trumpchi GS8;GAC GS8;GAC GS8;/samochody/gac/gac-gs8/;GAC GS8 2025;?;SUV;"MARKA: Trumpchi = CN name; w EU GAC";
94;5;Volkswagen;Volkswagen;Tayron;Tayron;Volkswagen Tayron;/samochody/volkswagen/tayron/;Volkswagen Tayron 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
95;5;Volkswagen;Volkswagen;Tharu;Tharu;Volkswagen Tharu;/samochody/volkswagen/tharu/;Volkswagen Tharu 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
96;5;Volkswagen;Volkswagen;Volkswagen ID.3;Volkswagen ID.3;Volkswagen ID.3;/samochody/volkswagen/volkswagen-id-3/;Volkswagen ID.3 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
97;5;Volvo;Volvo;Volvo S60;Volvo S60;Volvo S60;/samochody/volvo/volvo-s60/;Volvo S60 2025;Y;sedan;MARKA: europejska (Geely owned);
98;5;WEY;WEY;Blue Mountain;WEY Blue Mountain;WEY Blue Mountain;/samochody/wey/wey-blue-mountain/;WEY Blue Mountain 2025;?;SUV 7-os PHEV;MARKA: GWM premium;
99;5;Zeekr;Zeekr;ZEEKR 007 GT;ZEEKR 007 GT;ZEEKR 007 GT;/samochody/zeekr/zeekr-007-gt/;ZEEKR 007 GT 2025;?;;do potwierdzenia (fallback) | MARKA: Geely premium EV;
100;5;Zeekr;Zeekr;ZEEKR 9X;ZEEKR 9X;ZEEKR 9X;/samochody/zeekr/zeekr-9x/;ZEEKR 9X 2025;?;;do potwierdzenia (fallback) | MARKA: Geely premium EV;
101;5;Zeekr;Zeekr;ZEEKR X;Zeekr X;Zeekr X;/samochody/zeekr/zeekr-x/;Zeekr X 2025;Y;SUV mini;MARKA: Geely premium EV;
102;5;iCAR;iCAR;iCAR Super V23;iCAR Super V23;iCAR Super V23;/samochody/icar/icar-super-v23/;iCAR Super V23 2025;?;;do potwierdzenia (fallback) | MARKA: Chery sub-brand EV;
103;4;212;Beijing 212;212 T01;212 T01;Beijing 212 T01;/samochody/beijing-212/212-t01/;Beijing 212 T01 2025;?;;do potwierdzenia (fallback) | MARKA: klasyczny off-roader BAIC, CN-only;
104;4;BYD;BYD;Qin L EV;Qin L EV;BYD Qin L EV;/samochody/byd/qin-l-ev/;BYD Qin L EV 2025;?;;do potwierdzenia (fallback);
105;4;BYD;BYD;Seal 07 DM;Seal 07 DM;BYD Seal 07 DM;/samochody/byd/seal-07-dm/;BYD Seal 07 DM 2025;?;;do potwierdzenia (fallback);
106;4;Changan;Changan;Changan UNI-Z;Changan UNI-Z;Changan UNI-Z;/samochody/changan/changan-uni-z/;Changan UNI-Z 2025;?;;do potwierdzenia (fallback) | MARKA: debiut EU 2024+;
107;4;Changan Qiyuan;Qiyuan;Changan Qiyuan A07;Changan Qiyuan A07;Qiyuan Changan Qiyuan A07;/samochody/qiyuan/changan-qiyuan-a07/;Qiyuan Changan Qiyuan A07 2025;?;;do potwierdzenia (fallback) | MARKA: sub-brand Changan;
108;4;Deepal;Deepal;Deepal SL03;Deepal SL03;Deepal SL03;/samochody/deepal/deepal-sl03/;Deepal SL03 2025;?;;do potwierdzenia (fallback) | MARKA: Changan EV sub-brand, EU 2024+;
109;4;Galaxy;Geely Galaxy;Galaxy E8;Galaxy E8;Geely Galaxy E8;/samochody/geely-galaxy/galaxy-e8/;Geely Galaxy E8 2025;?;sedan EV;"MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
110;4;Galaxy;Geely Galaxy;Xingyuan;Xingyuan;Geely Galaxy Xingyuan;/samochody/geely-galaxy/xingyuan/;Geely Galaxy Xingyuan 2025;?;;"do potwierdzenia (fallback) | MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
111;4;Great Wall;GWM;Pao;Pao;GWM Pao;/samochody/gwm/pao/;GWM Pao 2025;?;;do potwierdzenia (fallback) | MARKA: Great Wall używa GWM w EU;
112;4;Hongqi;Hongqi;Hongqi EH7;Hongqi EH7;Hongqi EH7;/samochody/hongqi/hongqi-eh7/;Hongqi EH7 2025;?;sedan EV;MARKA: FAW premium, EU mało obecne;
113;4;Hongqi;Hongqi;Hongqi HQ9 PHEV;Hongqi HQ9 PHEV;Hongqi HQ9 PHEV;/samochody/hongqi/hongqi-hq9-phev/;Hongqi HQ9 PHEV 2025;?;;do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne;
114;4;Hongqi;Hongqi;Hongqi HS7 PHEV;Hongqi HS7 PHEV;Hongqi HS7 PHEV;/samochody/hongqi/hongqi-hs7-phev/;Hongqi HS7 PHEV 2025;?;;do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne;
115;4;Hongqi;Hongqi;Hongqi Tiangong 08;Hongqi Tiangong 08;Hongqi Tiangong 08;/samochody/hongqi/hongqi-tiangong-08/;Hongqi Tiangong 08 2025;?;;do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne;
116;4;Jetour;Jetour;Jetour Dasheng;Jetour Dashing;Jetour Dashing;/samochody/jetour/jetour-dashing/;Jetour Dashing 2025;Y;SUV coupe;MARKA: Chery SUV/offroad, obecny w EU;
117;4;Jetour;Jetour;Jetour Traveller;Jetour Traveller;Jetour Traveller;/samochody/jetour/jetour-traveller/;Jetour Traveller 2025;?;;do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU;
118;4;Maextro;Luxeed;Luxeed S7;Luxeed S7;Luxeed S7;/samochody/luxeed/luxeed-s7/;Luxeed S7 2025;?;sedan EV;"MARKA: Maextro JV Huawei-Chery; dla EU: Luxeed";
119;4;NIO;NIO;NIO EC6;NIO EC6;NIO EC6;/samochody/nio/nio-ec6/;NIO EC6 2025;Y;SUV coupe;MARKA: obecny w EU od 2021;
120;4;Voyah;Voyah;Voyah Dreamer PHEV;Voyah Dreamer PHEV;Voyah Dreamer PHEV;/samochody/voyah/voyah-dreamer-phev/;Voyah Dreamer PHEV 2025;?;;do potwierdzenia (fallback) | MARKA: Dongfeng premium EV;
121;4;Voyah;Voyah;Voyah FREE;Voyah FREE;Voyah FREE;/samochody/voyah/voyah-free/;Voyah FREE 2025;?;;do potwierdzenia (fallback) | MARKA: Dongfeng premium EV;
122;3;BYD;BYD;Haishi 05 EV;Haishi 05 EV;BYD Haishi 05 EV;/samochody/byd/haishi-05-ev/;BYD Haishi 05 EV 2025;?;;do potwierdzenia (fallback);
123;3;BYD;BYD;Han L DM;Han L DM;BYD Han L DM;/samochody/byd/han-l-dm/;BYD Han L DM 2025;?;;do potwierdzenia (fallback);
124;3;BYD;BYD;Qin PLUS EV;Qin PLUS EV;BYD Qin PLUS EV;/samochody/byd/qin-plus-ev/;BYD Qin PLUS EV 2025;?;;do potwierdzenia (fallback);
125;3;BYD;BYD;Seal;Seal;BYD Seal;/samochody/byd/seal/;BYD Seal 2025;Y;sedan;;
126;3;BYD;BYD;Seal 05 DM;Seal 05 DM;BYD Seal 05 DM;/samochody/byd/seal-05-dm/;BYD Seal 05 DM 2025;?;;do potwierdzenia (fallback);
127;3;BYD;BYD;Yuan PLUS;Yuan PLUS;BYD Yuan PLUS;/samochody/byd/yuan-plus/;BYD Yuan PLUS 2025;?;;do potwierdzenia (fallback);
128;3;Changan;Changan;Changan UNI-Z PHEV;Changan UNI-Z PHEV;Changan UNI-Z PHEV;/samochody/changan/changan-uni-z-phev/;Changan UNI-Z PHEV 2025;?;;do potwierdzenia (fallback) | MARKA: debiut EU 2024+;
129;3;Changan;Changan;Changan X7 PLUS;Changan X7 PLUS;Changan X7 PLUS;/samochody/changan/changan-x7-plus/;Changan X7 PLUS 2025;?;;do potwierdzenia (fallback) | MARKA: debiut EU 2024+;
130;3;Chery;Chery;Tiggo 8 PLUS;Tiggo 8 PLUS;Chery Tiggo 8 PLUS;/samochody/chery/tiggo-8-plus/;Chery Tiggo 8 PLUS 2025;?;;do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo;
131;3;Deepal;Deepal;Deepal S05;Deepal S05;Deepal S05;/samochody/deepal/deepal-s05/;Deepal S05 2025;?;SUV;MARKA: Changan EV sub-brand, EU 2024+;
132;3;Fangchengbao;BYD Leopard;Leopard 5;Leopard 5;BYD Leopard 5;/samochody/byd-leopard/leopard-5/;BYD Leopard 5 2025;?;SUV off-road PHEV;MARKA: 'Formula Leopard' sub-brand BYD;
133;3;GAC Trumpchi;GAC;Trumpchi GS4;GAC GS4;GAC GS4;/samochody/gac/gac-gs4/;GAC GS4 2025;?;SUV;"MARKA: Trumpchi = CN name; w EU GAC";
134;3;Galaxy;Geely Galaxy;Galaxy L6;Galaxy L6;Geely Galaxy L6;/samochody/geely-galaxy/galaxy-l6/;Geely Galaxy L6 2025;?;;"do potwierdzenia (fallback) | MARKA: sub-brand Geely; 'Geely Galaxy' w EU";
